1 1 16 1 2 3 1 2 3 1 2 3 1 2 3 1 2 3 4
2 2 16 1 2 3 1 2 3 1 2 3 1 2 3 1 2 3 4
3 3 16 1 2 3 1 2 3 1 2 3 1 2 3 1 2 3 4
4 4 16 1 2 3 1 2 3 1 2 3 1 2 3 1 2 3 4
5 5 16 1 2 3 1 2 3 1 2 3 1 2 3 1 2 3 4
6 6 16 1 2 3 1 2 3 1 2 3 1 2 3 1 2 3 4
7 7 16 1 2 3 1 2 3 1 2 3 1 2 3 1 2 3 4
8 8 16 1 2 3 1 2 3 1 2 3 1 2 3 1 2 3 4
9 9 16 1 2 3 1 2 3 1 2 3 1 2 3 1 2 3 4
10 10 16 1 2 3 1 2 3 1 2 3 1 2 3 1 2 3 4
11 11 16 1 2 3 1 2 3 1 2 3 1 2 3 1 2 3 4
12 12 16 1 2 3 1 2 3 1 2 3 1 2 3 1 2 3 4
13 13 16 1 2 3 1 2 3 1 2 3 1 2 3 1 2 3 4
14 14 16 1 2 3 1 2 3 1 2 3 1 2 3 1 2 3 4
15 15 16 1 2 3 1 2 3 1 2 3 1 2 3 1 2 3 4
16 16 16 1 2 3 1 2 3 1 2 3 1 2 3 1 2 3 4
17 17 16 1 2 3 1 2 3 1 2 3 1 2 3 1 2 3 4
18 18 16 1 2 3 1 2 3 1 2 3 1 2 3 1 2 3 4
19 19 16 1 2 3 1 2 3 1 2 3 1 2 3 1 2 3 4
20 20 16 1 2 3 1 2 3 1 2 3 1 2 3 1 2 3 4
21 21 16 1 2 3 1 2 3 1 2 3 1 2 3 1 2 3 4
22 22 16 1 2 3 1 2 3 1 2 3 1 2 3 1 2 3 4
23 23 16 1 2 3 1 2 3 1 2 3 1 2 3 1 2 3 4
24 24 16 1 2 3 1 2 3 1 2 3 1 2 3 1 2 3 4
25 25 16 1 2 3 1 2 3 1 2 3 1 2 3 1 2 3 4
26 26 16 1 2 3 1 2 3 1 2 3 1 2 3 1 2 3 4
27 27 16 1 2 3 1 2 3 1 2 3 1 2 3 1 2 3 4
28 28 16 1 2 3 1 2 3 1 2 3 1 2 3 1 2 3 4
29 29 16 1 2 3 1 2 3 1 2 3 1 2 3 1 2 3 4
30 30 16 1 2 3 1 2 3 1 2 3 1 2 3 1 2 3 4
