11 11 15 2 3 1 2 3 1 2 3 1 2 3 1 2 3 4
12 12 15 2 3 1 2 3 1 2 3 1 2 3 1 2 3 4
13 13 15 2 3 1 2 3 1 2 3 1 2 3 1 2 3 4
14 14 15 2 3 1 2 3 1 2 3 1 2 3 1 2 3 4
15 15 15 2 3 1 2 3 1 2 3 1 2 3 1 2 3 4
16 16 15 2 3 1 2 3 1 2 3 1 2 3 1 2 3 4
17 17 15 2 3 1 2 3 1 2 3 1 2 3 1 2 3 4
18 18 15 2 3 1 2 3 1 2 3 1 2 3 1 2 3 4
19 19 14 3 1 2 3 1 2 3 1 2 3 1 2 3 4
110 110 15 2 3 1 2 3 1 2 3 1 2 3 1 2 3 4
111 111 15 2 3 1 2 3 1 2 3 1 2 3 1 2 3 4
112 112 15 2 3 1 2 3 1 2 3 1 2 3 1 2 3 4
113 113 15 2 3 1 2 3 1 2 3 1 2 3 1 2 3 4
114 114 15 2 3 1 2 3 1 2 3 1 2 3 1 2 3 4
115 115 15 2 3 1 2 3 1 2 3 1 2 3 1 2 3 4
116 116 15 2 3 1 2 3 1 2 3 1 2 3 1 2 3 4
117 117 15 2 3 1 2 3 1 2 3 1 2 3 1 2 3 4
118 118 15 2 3 1 2 3 1 2 3 1 2 3 1 2 3 4
119 119 15 2 3 1 2 3 1 2 3 1 2 3 1 2 3 4
120 120 15 2 3 1 2 3 1 2 3 1 2 3 1 2 3 4
121 121 15 2 3 1 2 3 1 2 3 1 2 3 1 2 3 4
122 122 15 2 3 1 2 3 1 2 3 1 2 3 1 2 3 4
123 123 15 2 3 1 2 3 1 2 3 1 2 3 1 2 3 4
124 124 15 2 3 1 2 3 1 2 3 1 2 3 1 2 3 4
125 125 15 2 3 1 2 3 1 2 3 1 2 3 1 2 3 4
126 126 15 2 3 1 2 3 1 2 3 1 2 3 1 2 3 4
127 127 15 2 3 1 2 3 1 2 3 1 2 3 1 2 3 4
128 128 15 2 3 1 2 3 1 2 3 1 2 3 1 2 3 4
129 129 15 2 3 1 2 3 1 2 3 1 2 3 1 2 3 4
130 130 15 2 3 1 2 3 1 2 3 1 2 3 1 2 3 4
